nom,prix,adresse,image
Pigeons,78813.69885433716,"Mboro, Sénégal",https://images.coinafrique.com/2521008_uploaded_image1_1596768507.jpg
Lapin nain,30000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2541503_uploaded_image1_1597357353.jpg
Lapin nain,35000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2541523_uploaded_image1_1597358026.jpg
Brahman colombia,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2560354_uploaded_image1_1597924245.jpg
Pigeons dragon blanc sec & voyageur,15000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2561021_uploaded_image1_1597934615.jpg
Pigeons cravaté chinois,15000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2566760_uploaded_image1_1598102409.jpg
Poules Brahman,15000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2572060_uploaded_image1_1598279843.jpg
Poulets,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/2577823_uploaded_image1_1598451435.jpg
Bramah  - hermineh  -frises blancs,25000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/2591465_uploaded_image2_1598970773.jpeg
Pigeon voyageur,4000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/2600934_uploaded_image2_1599238240.jpeg
Pigeon ordinaire,1000.0,"Mbour, Sénégal",https://images.coinafrique.com/2604620_uploaded_image1_1599388255.jpg
Paire Cohen Barman,65000.0,"Ndiass, Sénégal",https://images.coinafrique.com/2605030_uploaded_image1_1599401534.jpg
Couple texan,45000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2608792_uploaded_image2_1599519769.jpeg
Couple Texan,55000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2615679_uploaded_image2_1599734825.jpeg
Pigeons Boulant De Saxe adultes,40000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/2617019_uploaded_image1_1599763487.jpg
Pigeon voyageur,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2621772_uploaded_image2_1599939192.jpeg
Poule rouge & bleus d'Hollande,10000.0,"Thies, Sénégal",https://images.coinafrique.com/2625194_uploaded_image2_1600090475.jpeg
Couple Texan,45000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2627818_uploaded_image1_1600179722.jpg
Poulets brahman,25000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/2631399_uploaded_image1_1600290648.jpg
Lapins nains,30000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2640033_uploaded_image1_1600626505.jpg
Lapins nains,35000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2640044_uploaded_image1_1600626910.jpg
Pigeons voyageurs,78813.69885433716,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/2640132_uploaded_image1_1600629959.jpg
Poule Cochin cailloutée,180000.0,"Dakar, Sénégal",https://images.coinafrique.com/2641987_uploaded_image1_1600702005.jpg
Lapin géant Angoura,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/2644118_uploaded_image1_1600776918.jpg
Pigeon - Couple Texen,35000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2655212_uploaded_image1_1601230092.jpg
Pigeons mondains,200000.0,"Mbour, Sénégal",https://images.coinafrique.com/2663305_uploaded_image2_1601545362.jpeg
Poules,20000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2673317_uploaded_image1_1601899857.jpg
Brahmanes de pure race - peruches ondulés,25000.0,"Dakar, Sénégal",https://images.coinafrique.com/2678983_uploaded_image2_1602106099.jpeg
Lapin métisse,10000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2683357_uploaded_image2_1602258164.jpeg
Pigeons mâles king,55000.0,"Dakar, Sénégal",https://images.coinafrique.com/2687762_uploaded_image1_1602444932.jpg
Poulet Cochin blanc,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/2687766_uploaded_image1_1602445033.jpg
Pigeon,25000.0,"Gibraltar, Dakar, Sénégal",https://images.coinafrique.com/2689453_uploaded_image1_1602511661.jpg
Couple texan,35000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2695680_uploaded_image1_1602716686.jpg
Cochin blanc,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2711734_uploaded_image2_1603372456.jpeg
Cochin caïllouté,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2711749_uploaded_image2_1603372820.jpeg
Poule Baraman,78813.69885433716,"Bargny, Sénégal",https://images.coinafrique.com/2712048_uploaded_image1_1603379295.jpg
Lapin / Géant de Flandre,40000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2723627_uploaded_image2_1603897714.jpeg
Lapin géant Flandre,78813.69885433716,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2735556_uploaded_image1_1604425922.jpg
Mondains blancs,200000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/2739851_uploaded_image1_1604571811.jpg
Pigeon mondain - pigeons texans,78813.69885433716,"Dakar, Sénégal",https://images.coinafrique.com/2742216_uploaded_image1_1604649341.jpg
Voyageurs à manteaux,30000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/2742963_uploaded_image1_1604666266.jpg
Dindes,78813.69885433716,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/2743094_uploaded_image1_1604668932.jpg
Brahmane,35000.0,"Louga, Sénégal",https://images.coinafrique.com/2747312_uploaded_image1_1604842724.jpg
Métisses boulan - mondain,25000.0,"Louga, Sénégal",https://images.coinafrique.com/2747317_uploaded_image1_1604842927.jpg
Pigeon boulant pomeranie,60000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2753142_uploaded_image1_1605047412.jpg
Pigeon,20000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2753197_uploaded_image1_1605050172.jpg
Poulets de chair,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/2771365_uploaded_image1_1605717090.jpg
Cailles + œufs de caille,6000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/2777887_uploaded_image2_1605969643.jpeg
Lapin nains,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/2787066_uploaded_image1_1606316714.jpg
Male cochin caïllouté,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2824883_uploaded_image1_1607700865.jpg
Pigeon Mondain,78813.69885433716,"Rufisque, Sénégal",https://images.coinafrique.com/2838626_uploaded_image1_1608276056.jpg
Œufs à couver,115000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/2849328_uploaded_image1_1608745484.jpg
Coq Cochin blanc,35000.0,"Thies, Sénégal",https://images.coinafrique.com/2850705_uploaded_image1_1608816820.jpg
Pigeons,78813.69885433716,"Bargny, Sénégal",https://images.coinafrique.com/2853881_uploaded_image2_1609011772.jpeg
Poulets,2500.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/2880530_uploaded_image1_1610226236.jpg
Dindes et poulets de chair,78813.69885433716,"Mbour, Sénégal",https://images.coinafrique.com/2886105_uploaded_image1_1610468092.jpg
Cochin caillouté,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2899128_uploaded_image1_1611044213.jpg
Poule cochin,40000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/2907921_uploaded_image1_1611416785.jpg
Poulet Brahma,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/2917717_uploaded_image1_1611862617.jpg
Poulet Brahmâ blanc,30000.0,"Dakar, Sénégal",https://images.coinafrique.com/2917728_uploaded_image1_1611862925.jpg
Pigeon Karavaty chinoise,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/2921677_uploaded_image1_1612093526.jpg
Paire pigeon Romain,80000.0,"Dakar, Sénégal",https://images.coinafrique.com/2921690_uploaded_image1_1612093907.jpg
Paire pigeon Coschoi,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/2921695_uploaded_image1_1612094191.jpg
Paire pigeon Boulons,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/2921717_uploaded_image1_1612095131.jpg
Poulet,78813.69885433716,"Dakar, Sénégal",https://images.coinafrique.com/2921773_uploaded_image1_1612098138.jpg
Pigeon Laor,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/2921831_uploaded_image1_1612100375.jpg
Pigeon Lahore,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/2921833_uploaded_image1_1612100438.jpg
Poulets de chair,3000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/2923781_uploaded_image2_1612184474.jpeg
