web-scraper-order,web-scraper-start-url,chien_selector,chien_selector-href,nom,prix,image,adresse
"1739037179-30","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/spitz-nain-1455313","Spitz nain","Prix sur demande","background-image: url(""https://images.coinafrique.com/1455313_uploaded_image1_1578601460.81.png""); width: 602px;","Dakar, Sénégal"
"1739037188-31","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-dog-argentin-cane-corso-1477206","Chiots husky sibérien - dog argentin - cane corso","350 000 CFA","background-image: url(""https://images.coinafrique.com/1477206_uploaded_image2_1578994405.03.png""); width: 415px;","Keur Massar, Sénégal"
"1739037197-32","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-1502314","Caniche","100 000 CFA","background-image: url(""https://images.coinafrique.com/1502314_uploaded_image1_1579389662.11.png""); width: 369px;","Dakar, Sénégal"
"1739037206-33","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniches-1502318","Caniches","100 000 CFA","background-image: url(""https://images.coinafrique.com/1502318_uploaded_image1_1579389696.6.png""); width: 545px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739037214-34","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-1502366","Caniche","100 000 CFA","background-image: url(""https://images.coinafrique.com/1502366_uploaded_image2_1579392503.84.png""); width: 369px;","Dakar, Sénégal"
"1739037224-35","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-akita-americain-1536386","Chiots akita américain","990 000 CFA","background-image: url(""https://images.coinafrique.com/1536386_uploaded_image2_1580821755.22.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037232-36","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-hight-quality-husky-siberien-1568103","Chiots Hight quality husky Sibérien","Prix sur demande","background-image: url(""https://images.coinafrique.com/1568103_uploaded_image2_1580413062.0.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037241-37","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-1571895","Chiot Spitz nain","Prix sur demande","background-image: url(""https://images.coinafrique.com/1571895_uploaded_image1_1580477105.7.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037249-38","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/spitz-pomperanian-nain-1592536","Spitz pomperanian nain","Prix sur demande","background-image: url(""https://images.coinafrique.com/1592536_uploaded_image1_1580821182.56.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037258-39","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/doberman-lignee-europeenne-1592645","Doberman lignée européenne","Prix sur demande","background-image: url(""https://images.coinafrique.com/1592645_uploaded_image2_1580822366.93.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037268-40","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pekinois-1592664","Pékinois","Prix sur demande","background-image: url(""https://images.coinafrique.com/1592664_uploaded_image2_1580822577.79.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037277-41","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/doberman-1621541","Doberman","400 000 CFA","background-image: url(""https://images.coinafrique.com/1621541_uploaded_image2_1581266142.61.png""); width: 420px;","Dakar, Sénégal"
"1739037286-42","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361","Chiot berger belge malinois","175 000 CFA","background-image: url(""https://images.coinafrique.com/1628361_uploaded_image2_1581360490.25.png""); width: 602px;","Pikine, Sénégal"
"1739037295-43","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117","Cani corso","600 000 CFA","background-image: url(""https://images.coinafrique.com/1716117_uploaded_image2_1582837304.75.png""); width: 419px;","Dakar, Sénégal"
"1739037304-44","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519","Chien Bichon","Prix sur demande","background-image: url(""https://images.coinafrique.com/1733519_uploaded_image3_1583168047.85.png""); width: 388px;","Ouakam, Dakar, Sénégal"
"1739037314-45","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179","Doberman pure souche","350 000 CFA","background-image: url(""https://images.coinafrique.com/1803179_uploaded_image2_1584379219.84.png""); width: 420px;","Yoff, Dakar, Sénégal"
"1739037335-46","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570","Chien Dogue Allemand","Prix sur demande","background-image: url(""https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png""); width: 438px;","Yoff, Dakar, Sénégal"
"1739037345-47","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/caniches-1840583","Caniches","Prix sur demande","background-image: url(""https://images.coinafrique.com/1840583_uploaded_image1_1585048857.01.png""); width: 438px;","Dakar, Sénégal"
"1739037355-48","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107","Chiots Spitz nain pomeranian","Prix sur demande","background-image: url(""https://images.coinafrique.com/1862107_uploaded_image2_1585455904.91.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037366-49","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112","Chiots Shiba inu","Prix sur demande","background-image: url(""https://images.coinafrique.com/1862112_uploaded_image2_1585456241.99.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037377-50","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142","Chiots pékinois pure race","Prix sur demande","background-image: url(""https://images.coinafrique.com/1862142_uploaded_image2_1585459853.61.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037386-51","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148","Chiots Dogue allemand","Prix sur demande","background-image: url(""https://images.coinafrique.com/1862148_uploaded_image2_1585459981.68.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037396-52","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155","Femelle dogue de Bordeaux","Prix sur demande","background-image: url(""https://images.coinafrique.com/1862155_uploaded_image2_1585460204.22.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037405-53","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159","Bulldog anglais","Prix sur demande","background-image: url(""https://images.coinafrique.com/1862159_uploaded_image2_1585460333.29.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037415-54","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/labrador-1869479","Labrador","200 000 CFA","background-image: url(""https://images.coinafrique.com/1869479_uploaded_image2_1585587706.8.png""); width: 583px;","Yoff, Dakar, Sénégal"
"1739037424-55","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049","Métisse chiots rottweiler","50 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png""); width: 583px;","Mermoz-Sacré-Cœur, Dakar, Sénégal"
"1739037434-56","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735","Chiens Malinois","300 000 CFA","background-image: url(""https://images.coinafrique.com/1904735_uploaded_image2_1586389817.14.png""); width: 595px;","Dakar Plateau, Dakar, Sénégal"
"1739037444-57","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386","Chiot boxer","Prix sur demande","background-image: url(""https://images.coinafrique.com/1935386_uploaded_image2_1586726128.81.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037453-58","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397","Chiots Labrador","Prix sur demande","background-image: url(""https://images.coinafrique.com/1935397_uploaded_image2_1586726397.99.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037463-59","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-1940062","Chien","400 000 CFA","background-image: url(""https://images.coinafrique.com/1940062_uploaded_image2_1586802061.26.png""); width: 597px;","Dakar, Sénégal"
"1739037473-60","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-1940073","Chien","400 000 CFA","background-image: url(""https://images.coinafrique.com/1940073_uploaded_image2_1586802160.21.png""); width: 597px;","Dakar, Sénégal"
"1739037481-61","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031","CHiots Pitbull","90 000 CFA","background-image: url(""https://images.coinafrique.com/1959031_uploaded_image2_1587075774.26.jpeg""); width: 436px;","Mermoz-Sacré-Cœur, Dakar, Sénégal"
"1739037494-62","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265","Femelles  métisse rock / 4 chiennes","50 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg""); width: 583px;","Mermoz-Sacré-Cœur, Dakar, Sénégal"
"1739037506-63","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517","Chiot Chowchow","Prix sur demande","background-image: url(""https://images.coinafrique.com/2047517_uploaded_image2_1588470753.jpeg""); width: 488px;","Fann, Dakar, Sénégal"
"1739037519-64","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558","Chiot Berger Allemand","250 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739037532-65","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566","Chiot Can Corso","300 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739037545-66","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869","Berger malinois charboné","300 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739037558-67","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208","Chiots Berger Amstaff","130 000 CFA","background-image: url(""https://images.coinafrique.com/2082208_uploaded_image2_1588983813.jpeg""); width: 615px;","Dakar, Sénégal"
"1739037570-68","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633","Chiots Yorkshire/caniche","200 000 CFA","background-image: url(""https://images.coinafrique.com/2107633_uploaded_image2_1589392557.jpeg""); width: 369px;","Dakar, Sénégal"
"1739037583-69","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461","Chiots rockweile","290 000 CFA","background-image: url(""https://images.coinafrique.com/2119461_uploaded_image2_1589565559.jpeg""); width: 436px;","Mermoz-Sacré-Cœur, Dakar, Sénégal"
"1739037595-70","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223","Chiots Rottweiler","300 000 CFA","background-image: url(""https://images.coinafrique.com/2151223_uploaded_image2_1590064972.jpeg""); width: 529px;","Dakar, Sénégal"
"1739037607-71","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616","Chiot Yorkie_Chon","300 000 CFA","background-image: url(""https://images.coinafrique.com/2151616_uploaded_image2_1592169343.jpeg""); width: 498px;","Yoff, Dakar, Sénégal"
"1739037619-72","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2155097","Chiot chowchow","Prix sur demande","background-image: url(""https://images.coinafrique.com/2155097_uploaded_image2_1590127309.jpeg""); width: 488px;","Fann, Dakar, Sénégal"
"1739037632-73","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/bichons-2181152","Bichons","350 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_2181152_uploaded_image1_1590585289.jpg""); width: 395px;","Ngor, Dakar, Sénégal"
"1739037646-74","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-2209275","Chien","65 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg""); width: 425px;","Gibraltar, Dakar, Sénégal"
"1739037657-75","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-blanc-suisse-2211811","Berger blanc suisse","150 000 CFA","background-image: url(""https://images.coinafrique.com/2211811_uploaded_image2_1591059037.jpeg""); width: 496px;","Saint Louis, Sénégal"
"1739037671-76","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-2217466","Berger allemand pure sang","150 000 CFA","background-image: url(""https://images.coinafrique.com/2217466_uploaded_image2_1591135620.jpeg""); width: 387px;","Point E, Dakar, Sénégal"
"1739037684-77","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pur-sang-2217470","Berger allemand pur sang","150 000 CFA","background-image: url(""https://images.coinafrique.com/2217470_uploaded_image2_1591135735.jpeg""); width: 387px;","Point E, Dakar, Sénégal"
"1739037697-78","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2230488","Chiots berger allemand","175 000 CFA","background-image: url(""https://images.coinafrique.com/2230488_uploaded_image2_1591320629.jpeg""); width: 448px;","Guediawaye, Dakar, Sénégal"
"1739037709-79","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-malinois-2244294","Chiots berger belge malinois","150 000 CFA","background-image: url(""https://images.coinafrique.com/2244294_uploaded_image2_1591560491.jpeg""); width: 369px;","Dakar, Sénégal"
"1739037724-80","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-blanc-2250259","Chiot Berger blanc","170 000 CFA","background-image: url(""https://images.coinafrique.com/2250259_uploaded_image2_1591646067.jpeg""); width: 496px;","Saint Louis, Sénégal"
"1739037739-81","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-2277897","Chiots Berger","160 000 CFA","background-image: url(""https://images.coinafrique.com/2277897_uploaded_image1_1592046957.jpg""); width: 496px;","Saint Louis, Sénégal"
"1739037748-82","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2299686","Chiots Rottweiler","400 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_2299686_uploaded_image1_1592393679.jpg""); width: 369px;","Dakar, Sénégal"
