nom,prix,adresse,image
Dinde,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4060300_uploaded_image1_1674362008.jpg)
Oies,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4064457_uploaded_image1_1674641302.jpg)
Bœufs,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4089255_uploaded_image1_1676026530.jpg)
Cheval,303046.95945945947,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4092862_uploaded_image1_1676283623.jpg)
Chaton angora,180000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg)
Chats siamois himalayen,300000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4102440_uploaded_image1_1676904996.jpg)
Chèvre sahelienne,180000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4103018_uploaded_image1_1676929679.jpg)
Vaches,7000000.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4131629_uploaded_image1_1678668784.jpg)
Canard colvert,32500.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4141195_uploaded_image1_1679311407.jpg)
Perroquet,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg)
Bœuf,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4150854_uploaded_image1_1679921255.jpg)
Dindes,100000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169870_uploaded_image1_1681057188.jpg)
Dindes,100000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169875_uploaded_image1_1681057517.jpg)
Dinde,45000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_4170236_uploaded_image1_1681079402.jpg)
Bœuf,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4179472_uploaded_image1_1681680500.jpg)
Chaton siamois,240000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4180282_uploaded_image1_1681738114.jpg)
Couple de perruches,14900.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4180902_uploaded_image1_1681767382.jpg)
Perroquet,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg)
Perruches,30000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg)
Boeuf,600000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg)
Cailles,7000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_4208226_uploaded_image1_1683592423.jpg)
Poissons aquarium,15000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213007_uploaded_image1_1683888858.jpg)
