nom,prix,image,adresse
Chiots berger belge malinois,150000.0,https://images.coinafrique.com/2244294_uploaded_image2_1591560491.jpeg,"Dakar, Sénégal"
Chiot Berger blanc,170000.0,https://images.coinafrique.com/2250259_uploaded_image2_1591646067.jpeg,"Saint Louis, Sénégal"
Chiots Berger,160000.0,https://images.coinafrique.com/2277897_uploaded_image1_1592046957.jpg,"Saint Louis, Sénégal"
Chiots Rottweiler,400000.0,https://images.coinafrique.com/thumb_2299686_uploaded_image1_1592393679.jpg,"Dakar, Sénégal"
Berger Allemand femelle,250000.0,https://images.coinafrique.com/2300480_uploaded_image2_1592400668.jpeg,"Fass, Dakar, Sénégal"
Caniche,240000.0,https://images.coinafrique.com/2308946_uploaded_image1_1592507915.jpg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiots Bichons,350000.0,https://images.coinafrique.com/2324363_uploaded_image1_1592781561.jpg,"Dakar, Sénégal"
Chien berger malinois,150000.0,https://images.coinafrique.com/2331869_uploaded_image2_1592905488.jpeg,"Yoff, Dakar, Sénégal"
Berger allemand,350000.0,https://images.coinafrique.com/2354463_uploaded_image2_1593244171.jpeg,"Dakar, Sénégal"
Chiot yorkie,300000.0,https://images.coinafrique.com/2373725_uploaded_image2_1593562238.jpeg,"Yoff, Dakar, Sénégal"
Berger allemand,350000.0,https://images.coinafrique.com/2374457_uploaded_image2_1593588468.jpeg,"Dakar, Sénégal"
Chiot Caniche,300000.0,https://images.coinafrique.com/2417666_uploaded_image2_1594290464.jpeg,"Dakar, Sénégal"
Malinois pur sang,250000.0,https://images.coinafrique.com/2425090_uploaded_image1_1594426421.jpg,"Dakar, Sénégal"
Chiots malinois,250000.0,https://images.coinafrique.com/2441977_uploaded_image1_1594815579.jpg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiots bichons,200000.0,https://images.coinafrique.com/thumb_2443734_uploaded_image1_1594839124.jpg,"HLM, Dakar, Sénégal"
Chiots,300000.0,https://images.coinafrique.com/2452744_uploaded_image2_1595018956.jpeg,"Yoff, Dakar, Sénégal"
Chiots Malinois,200000.0,https://images.coinafrique.com/2457699_uploaded_image1_1595163103.jpg,"Dakar, Sénégal"
Chiots Bichons Maltais,195000.0,https://images.coinafrique.com/2460286_uploaded_image2_1595235681.jpeg,"Dakar, Sénégal"
Yorkshire toy femelle,750000.0,https://images.coinafrique.com/2466136_uploaded_image1_1595344530.jpg,"Fann, Dakar, Sénégal"
Chiens  Berger allemand,200000.0,https://images.coinafrique.com/2482151_uploaded_image1_1595683430.jpg,"Yoff, Dakar, Sénégal"
Berger allemand,175000.0,https://images.coinafrique.com/2508974_uploaded_image2_1596479159.jpeg,"Sicap Liberté, Dakar, Sénégal"
Chiots Rottweiler,300000.0,https://images.coinafrique.com/2528100_uploaded_image2_1597008493.jpeg,"Dakar Plateau, Dakar, Sénégal"
Chien chiwawa,300000.0,https://images.coinafrique.com/thumb_2533324_uploaded_image1_1597146281.jpg,"Dakar, Sénégal"
Chiot berger malinois,250000.0,https://images.coinafrique.com/2534330_uploaded_image2_1597162094.jpeg,"Diamniadio, Sénégal"
Chiot Berger Allemand,150000.0,https://images.coinafrique.com/2535190_uploaded_image1_1597184067.jpg,"Rufisque, Sénégal"
Chiots shih tzu,250000.0,https://images.coinafrique.com/2536904_uploaded_image1_1597236557.jpg,"Point E, Dakar, Sénégal"
Chiots berger allemand,250000.0,https://images.coinafrique.com/2541838_uploaded_image2_1597368797.jpeg,"Guediawaye, Dakar, Sénégal"
Belger allemand,171998628018409.84,https://images.coinafrique.com/2544470_uploaded_image1_1597451496.jpg,"Dakar, Sénégal"
Malinois,171998628018409.84,https://images.coinafrique.com/2544486_uploaded_image2_1597452358.jpeg,"Dakar, Sénégal"
Canish,250000.0,https://images.coinafrique.com/2551556_uploaded_image2_1597687759.jpeg,"Fass, Dakar, Sénégal"
Femelle pitbull,120000.0,https://images.coinafrique.com/2555833_uploaded_image1_1597802491.jpg,"Bargny, Sénégal"
Chiots Boerboel,171998628018409.84,https://images.coinafrique.com/2557147_uploaded_image1_1597839325.jpg,"Rufisque, Sénégal"
Chiots Doberman,650000.0,https://images.coinafrique.com/2567144_uploaded_image2_1598112288.jpeg,"Fann, Dakar, Sénégal"
Chiots Bulldog,171998628018409.84,https://images.coinafrique.com/2567149_uploaded_image2_1598112443.jpeg,"Fann, Dakar, Sénégal"
Chiot Kangal,171998628018409.84,https://images.coinafrique.com/2567155_uploaded_image2_1598112586.jpeg,"Fann, Dakar, Sénégal"
Chiot  Chiuawa,171998628018409.84,https://images.coinafrique.com/2567166_uploaded_image2_1598112764.jpeg,"Fann, Dakar, Sénégal"
Chiot Spitz Pomperanian,171998628018409.84,https://images.coinafrique.com/2567174_uploaded_image2_1598112868.jpeg,"Fann, Dakar, Sénégal"
Chiots Malinois pur sang,250000.0,https://images.coinafrique.com/2567608_uploaded_image2_1598126861.jpeg,"Ouest Foire, Dakar, Sénégal"
Chiot Rotweiller,300000.0,https://images.coinafrique.com/thumb_2567679_uploaded_image1_1598129482.jpg,"Hann Bel-Air, Dakar, Sénégal"
Chiot Rottweiller,300000.0,https://images.coinafrique.com/2575614_uploaded_image2_1598372727.jpeg,"Hann Bel-Air, Dakar, Sénégal"
Chiots Spitz nain Pomeranian,1900000.0,https://images.coinafrique.com/2578678_uploaded_image2_1598473260.jpeg,"Fann, Dakar, Sénégal"
Chiot Rottweiller,300000.0,https://images.coinafrique.com/2580700_uploaded_image1_1598548338.jpg,"Hann Bel-Air, Dakar, Sénégal"
Chien Bichon,300000.0,https://images.coinafrique.com/2581230_uploaded_image2_1598567752.jpeg,"Dakar, Sénégal"
Malinois,300000.0,https://images.coinafrique.com/2581239_uploaded_image2_1598568079.jpeg,"Dakar, Sénégal"
Chien Berger,250000.0,https://images.coinafrique.com/2581250_uploaded_image2_1598568345.jpeg,"Dakar, Sénégal"
Chiots Berger Allemand,180000.0,https://images.coinafrique.com/2584995_uploaded_image2_1598726975.jpeg,"Bargny, Sénégal"
Chiot rottweiller,300000.0,https://images.coinafrique.com/2589325_uploaded_image1_1598898832.jpg,"Hann Bel-Air, Dakar, Sénégal"
Chiot Pitbull,150000.0,https://images.coinafrique.com/2591285_uploaded_image2_1598968051.jpeg,"Dakar, Sénégal"
Chiot bulldog anglais,171998628018409.84,https://images.coinafrique.com/2593026_uploaded_image1_1599001771.jpg,"Fann, Dakar, Sénégal"
